,Keyword,Chi-Square,P-Value,Association
55,report,6.355526931076833,0.011701618433561593,Significant
56,leg radicular,6.286643351071444,0.012165122583137481,Significant
57,as a,6.162093127043851,0.013051667428617856,Significant
58,had physical,6.103201932787464,0.013493717018489131,Significant
59,cyst,6.103201932787464,0.013493717018489131,Significant
60,relief with,5.913142827553555,0.01502833709658213,Significant
61,right but,5.913142827553555,0.01502833709658213,Significant
62,right buttock,5.913142827553555,0.01502833709658213,Significant
63,activities to tolerance,5.900576862710792,0.01513592669154788,Significant
64,power is grade,5.818504523073402,0.015858422834964015,Significant
65,not report,5.814801913082775,0.015891843211543858,Significant
66,spinal canal stenosis,5.744986657838771,0.016535781147776686,Significant
67,complaint of right,5.6980658297809885,0.01698361869498773,Significant
68,on mri,5.6777863556861075,0.01718103135991565,Significant
69,and there is,5.6645454778397495,0.017311202222639835,Significant
70,a right,5.611060275890053,0.017847460706838927,Significant
71,this i,5.569142706639255,0.018279708465794353,Significant
72,health his,5.547471697204179,0.018507401610927475,Significant
73,time,5.538185074499281,0.01860586909218578,Significant
74,exam,5.533885732561905,0.018651638778055743,Significant
75,examination,5.533885732561905,0.018651638778055743,Significant
76,spinal,5.464091109369226,0.019411147393822537,Significant
77,spina,5.464091109369226,0.019411147393822537,Significant
78,protrusion,5.344020112953123,0.020793467314504707,Significant
79,her health his,5.290305726014445,0.02144445503232881,Significant
80,help with,5.290305726014445,0.02144445503232881,Significant
81,the best,5.290305726014445,0.02144445503232881,Significant
82,i feel,5.290305726014445,0.02144445503232881,Significant
83,withstanding,5.223167621190797,0.022287917050714187,Significant
84,currently,5.223167621190797,0.022287917050714187,Significant
85,heaviness,5.169975012559934,0.022980546469240578,Significant
86,a walker,5.169975012559934,0.022980546469240578,Significant
87,reveals severe spinal,5.169975012559934,0.022980546469240578,Significant
88,required,5.169975012559934,0.022980546469240578,Significant
89,is severe spinal,5.169975012559934,0.022980546469240578,Significant
90,tolerance of,5.15406826926471,0.023191975387480347,Significant
91,reveals severe,5.100515361949047,0.023918735937971836,Significant
92,only about,5.046811383295369,0.024671299888822842,Significant
93,numbness and,5.046811383295369,0.024671299888822842,Significant
94,free,5.046811383295369,0.024671299888822842,Significant
95,unremitting,5.046811383295369,0.024671299888822842,Significant
96,history of chronic,5.046811383295369,0.024671299888822842,Significant
97,of chronic lower,5.046811383295369,0.024671299888822842,Significant
98,is grade,5.042632669237211,0.02473087800265163,Significant
99,smith is,4.992908406085402,0.02545139622982184,Significant
100,provocative,4.986830348560835,0.02554095212299779,Significant
101,some improvement,4.874028418604166,0.027263784810722606,Significant
102,not recall,4.874028418604166,0.027263784810722606,Significant
103,the name,4.874028418604166,0.027263784810722606,Significant
104,notwithstanding the,4.874028418604166,0.027263784810722606,Significant
105,her back pain,4.874028418604166,0.027263784810722606,Significant
106,name,4.874028418604166,0.027263784810722606,Significant
107,referral for,4.874028418604166,0.027263784810722606,Significant
108,left leg radicular,4.874028418604166,0.027263784810722606,Significant
109,leg radicular symptoms,4.874028418604166,0.027263784810722606,Significant
110,feel it,4.874028418604166,0.027263784810722606,Significant
111,and notwithstanding,4.874028418604166,0.027263784810722606,Significant
112,could not recall,4.874028418604166,0.027263784810722606,Significant
113,his general medical,4.874028418604166,0.027263784810722606,Significant
114,right l5 radiculopathy,4.8727571298678445,0.027283875497074884,Significant
115,tolerance of less,4.823344392118102,0.028076817765754276,Significant
116,measure,4.823344392118102,0.028076817765754276,Significant
117,activities to,4.823344392118102,0.028076817765754276,Significant
118,power is graded,4.822530917210582,0.02809007066214452,Significant
119,right leg pain,4.765899287854547,0.029028890456769256,Significant
120,recess stenosis,4.722511407689973,0.02977023295671273,Significant
121,is at,4.695711778095788,0.030237972239328708,Significant
122,with neurogenic,4.6628558604352,0.030821885102322543,Significant
123,is worse,4.6628558604352,0.030821885102322543,Significant
124,the lateral,4.65085203106622,0.031038137836316856,Significant
125,health history,4.65085203106622,0.031038137836316856,Significant
126,grade,4.633662331475185,0.03135057487616439,Significant
127,presents with symptoms,4.630455933629525,0.03140921591279219,Significant
128,with symptoms,4.630455933629525,0.03140921591279219,Significant
129,smith i,4.563352972349514,0.0326630671684989,Significant
130,ass,4.548524878935693,0.03294711955331394,Significant
131,tolerance i,4.529965455400417,0.033306290034294306,Significant
132,resisted,4.529965455400417,0.033306290034294306,Significant
133,not report any,4.529965455400417,0.033306290034294306,Significant
134,conservative measures,4.4545788932377235,0.034807797319568796,Significant
135,presentation is commensurate,4.4545788932377235,0.034807797319568796,Significant
136,stenosis at l2,4.4545788932377235,0.034807797319568796,Significant
137,disc protrusion,4.329733340755998,0.037452112739299805,Significant
138,day,4.316137820748622,0.03775251578417004,Significant
139,relief for a,4.297523509284353,0.038167913684261714,Significant
140,significant functional,4.297523509284353,0.038167913684261714,Significant
141,is commensurate with,4.150976010471023,0.04161053289947941,Significant
142,is commensurate,4.150976010471023,0.04161053289947941,Significant
143,encouraged him,4.144054437451649,0.04178098397567286,Significant
144,has had physical,4.144054437451649,0.04178098397567286,Significant
145,finding on mri,4.144054437451649,0.04178098397567286,Significant
146,had physical therapy,4.144054437451649,0.04178098397567286,Significant
147,is severe,4.124514200166645,0.04226615422486483,Significant
148,is worsening,4.124514200166645,0.04226615422486483,Significant
149,is graded,4.115677642074726,0.042487500727620454,Significant
150,referred her to,4.0047389491245475,0.04537252292741331,Significant
151,her health history,4.0047389491245475,0.04537252292741331,Significant
152,reveals a right,4.0047389491245475,0.04537252292741331,Significant
153,which was,4.0047389491245475,0.04537252292741331,Significant
154,the ankle,4.0047389491245475,0.04537252292741331,Significant
155,is continuing to,4.0047389491245475,0.04537252292741331,Significant
156,otherwise power,4.0047389491245475,0.04537252292741331,Significant
157,than right,3.9940397026119565,0.04566146510033024,Significant
158,list,3.9585525093520095,0.0466337874613458,Significant
159,to tolerance,3.955395001383048,0.046721351761153204,Significant
160,to the,3.9371707629746195,0.0472301474944421,Significant
161,functioning,3.935712070090333,0.04727112397529984,Significant
162,despite,3.922504926718699,0.04764384013415869,Significant
163,tolerance is,3.9208312390831406,0.04769129378978683,Significant
164,of less,3.9208312390831406,0.04769129378978683,Significant
165,of less than,3.9208312390831406,0.04769129378978683,Significant
166,and pain is,3.9208312390831406,0.04769129378978683,Significant
167,report any,3.902812089411095,0.048205356452046634,Significant
168,of right buttock,3.89640268976149,0.04838961528160988,Significant
169,is absent,3.8867483650789447,0.048668564447772844,Significant
170,lateral recess stenosis,3.880033693652851,0.048863576733285743,Significant
