,Keyword,Chi-Square,P-Value,Association,OddsRatio
56,one,0.6046152145292298,0.43682251100746217,Not Significant,1.2666666666666666
57,medical,0.31692303045820147,0.5734626851467208,Not Significant,1.20125
58,abnormal,0.2923199051557688,0.5887377016920815,Not Significant,2.927536231884058
59,candesartan,0.23403653161881685,0.6285468203166699,Not Significant,inf
60,seen,0.23457097880630245,0.6281550361270409,Not Significant,0.6992481203007519
61,31,0.0,1.0,Not Significant,0.7142857142857143
62,around,0.0,1.0,Not Significant,0.7142857142857143
63,twice,0.0,1.0,Not Significant,1.4428571428571428
64,exam,5.533885732561905,0.018651638778055746,Significant,0.4076190476190476
65,fabbro,0.0,1.0,Not Significant,inf
66,replaced,0.6908819313419929,0.40586456509552804,Not Significant,0.35
67,achiness,0.0,1.0,Not Significant,0.7142857142857143
68,somewhere,0.027730329365850532,0.8677443925184667,Not Significant,0.0
69,synthroid,0.0,1.0,Not Significant,0.7163120567375887
70,also,1.3426332826705651,0.24657011687619743,Not Significant,1.4244186046511629
71,orthopedic,0.9134525187097302,0.33920002043905473,Not Significant,0.0
72,27,0.7095737435580582,0.3995853550226799,Not Significant,0.418705035971223
73,celebrex,0.0,1.0,Not Significant,1.4428571428571428
74,115,0.0,1.0,Not Significant,inf
75,tends,1.4513507049087342,0.22831134410113604,Not Significant,0.45588235294117646
76,play,0.027730329365850532,0.8677443925184667,Not Significant,0.0
77,including,1.4513507049087342,0.22831134410113604,Not Significant,0.45588235294117646
78,daily,0.0386938853924914,0.8440563514271322,Not Significant,1.312781954887218
79,traction,2.7864139856439682,0.09506675158519358,Not Significant,0.1375886524822695
80,mri,0.47208727258935074,0.4920284895565634,Not Significant,0.5075757575757576
81,pelvic,0.9134525187097302,0.33920002043905473,Not Significant,0.0
82,humerus,0.0,1.0,Not Significant,inf
83,could,0.002904556417480633,0.9570196674264507,Not Significant,1.053763440860215
84,discogenic,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
85,noticed,0.0,1.0,Not Significant,inf
86,cyst,6.103201932787464,0.013493717018489131,Significant,0.24985962942167322
87,ramipril,0.2923199051557688,0.5887377016920815,Not Significant,2.927536231884058
88,list,3.9585525093520095,0.0466337874613458,Significant,2.1818181818181817
89,least,0.0,1.0,Not Significant,0.7163120567375887
90,insidious,0.0,1.0,Not Significant,1.079136690647482
91,bulge,0.7160326337107611,0.39744836874090006,Not Significant,0.23404255319148937
92,providing,0.027730329365850532,0.8677443925184667,Not Significant,0.0
93,levothyroxine,0.0,1.0,Not Significant,inf
94,contributing,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
95,rhodes,0.027730329365850532,0.8677443925184667,Not Significant,0.0
96,complaint,0.0,1.0,Not Significant,1.018181818181818
97,tumor,0.0,1.0,Not Significant,0.7163120567375887
98,telmisartan,0.027730329365850532,0.8677443925184667,Not Significant,0.0
99,hysterectomy,0.0,1.0,Not Significant,0.9565217391304348
100,quite,0.027730329365850532,0.8677443925184667,Not Significant,0.0
101,occasional,0.0,1.0,Not Significant,1.0808823529411764
102,bid,0.009771520419385945,0.9212565737299702,Not Significant,1.2121212121212122
103,habitus,0.012884468659748462,0.9096264150998227,Not Significant,0.7101449275362319
104,topiramate,0.0,1.0,Not Significant,inf
105,presurgical,0.0,1.0,Not Significant,inf
106,eltroxin,0.0,1.0,Not Significant,inf
107,function,1.3264374699790413,0.24943998575561319,Not Significant,1.402834008097166
108,past,0.0,1.0,Not Significant,1.0460377358490567
109,revealed,0.25806906520474543,0.6114498469605114,Not Significant,0.5623188405797102
110,classify,0.0,1.0,Not Significant,inf
111,antibiotic,0.0,1.0,Not Significant,0.7163120567375887
112,175,0.0,1.0,Not Significant,0.7163120567375887
113,osteopathy,0.7095737435580582,0.3995853550226799,Not Significant,0.418705035971223
114,copd,0.0,1.0,Not Significant,0.7163120567375887
115,spondylolysis,0.027730329365850532,0.8677443925184667,Not Significant,0.0
116,proceed,0.0,1.0,Not Significant,inf
117,apprehension,0.027730329365850532,0.8677443925184667,Not Significant,0.0
118,child,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
119,immediate,0.0,1.0,Not Significant,inf
120,toradol,0.0,1.0,Not Significant,0.7163120567375887
121,musculature,0.23403653161881685,0.6285468203166699,Not Significant,inf
122,monthly,0.0,1.0,Not Significant,0.7163120567375887
123,image,0.045963458771202975,0.8302422360478702,Not Significant,1.2527472527472527
124,t1,0.19902654114477547,0.6555077439181216,Not Significant,0.5287769784172662
125,km,0.23403653161881685,0.6285468203166699,Not Significant,inf
126,limitation,0.3627017619226808,0.5470095615104595,Not Significant,0.7904424778761062
127,clean,0.0,1.0,Not Significant,1.4428571428571428
128,tolerance,12.974048590851295,0.00031583831329567606,Significant,2.687015503875969
129,denies,0.9134525187097302,0.33920002043905473,Not Significant,0.0
130,focal,0.0,1.0,Not Significant,0.7163120567375887
131,manager,0.0,1.0,Not Significant,0.7163120567375887
132,lung,0.0,1.0,Not Significant,1.4428571428571428
133,february,0.3233404280137954,0.5696070517573331,Not Significant,1.3561847988077496
134,weakness,0.6155029149424036,0.43272335676323015,Not Significant,1.3193069306930694
135,negative,1.5249991505261176,0.21686453746536552,Not Significant,0.6662756598240469
136,june,0.5465762928591775,0.45972000326900486,Not Significant,1.5
137,looked,0.0,1.0,Not Significant,inf
138,control,0.0,1.0,Not Significant,1.2043795620437956
139,tend,1.4375402743256926,0.2305377925910295,Not Significant,1.5126050420168067
140,teste,0.027730329365850532,0.8677443925184667,Not Significant,0.0
141,flank,0.027730329365850532,0.8677443925184667,Not Significant,0.0
142,somewhat,0.0,1.0,Not Significant,1.4428571428571428
143,attempted,0.0,1.0,Not Significant,0.7142857142857143
144,affected,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
145,consult,0.534364684841073,0.46477761345291135,Not Significant,1.4545454545454546
146,afford,0.0,1.0,Not Significant,0.7163120567375887
147,arthroscopic,0.0,1.0,Not Significant,0.7163120567375887
148,anxiety,2.4687141626762905,0.11613289537297089,Not Significant,0.22857142857142856
149,progressive,0.0,1.0,Not Significant,0.7142857142857143
150,resident,0.0,1.0,Not Significant,inf
151,referring,1.441563241511305,0.22988654144229026,Not Significant,1.5845238095238094
152,400,0.23403653161881685,0.6285468203166699,Not Significant,inf
153,hz,0.23403653161881685,0.6285468203166699,Not Significant,inf
154,niagara,0.0,1.0,Not Significant,0.7142857142857143
155,rotator,0.0,1.0,Not Significant,inf
156,thyroidectomy,0.0,1.0,Not Significant,inf
157,2013,0.9134525187097302,0.33920002043905473,Not Significant,0.0
158,affecting,1.8068593515228961,0.17888543988830014,Not Significant,5.237037037037037
159,accident,0.0,1.0,Not Significant,1.079136690647482
160,consulted,0.027730329365850532,0.8677443925184667,Not Significant,0.0
161,plateaued,4.71881655175167e-05,0.9945190834096732,Not Significant,1.4492753623188406
162,mother,0.0,1.0,Not Significant,inf
163,stability,0.0,1.0,Not Significant,1.4428571428571428
164,retention,0.0,1.0,Not Significant,1.0808823529411764
165,albeit,0.027730329365850532,0.8677443925184667,Not Significant,0.0
166,said,0.0,1.0,Not Significant,0.7163120567375887
167,25,0.0,1.0,Not Significant,1.0827067669172932
168,stretch,0.42669284576651356,0.513616196400118,Not Significant,1.2323491655969192
169,osteopathic,0.0,1.0,Not Significant,inf
170,degroot,0.7888576816579786,0.37444576110523364,Not Significant,inf
171,put,0.0,1.0,Not Significant,inf
172,aspirin,0.0,1.0,Not Significant,inf
173,diffusely,0.0,1.0,Not Significant,inf
174,marketing,0.0,1.0,Not Significant,inf
175,pressure,0.7160326337107611,0.39744836874090006,Not Significant,0.23404255319148937
176,cane,2.2411347038764253,0.1343823338896958,Not Significant,3.046153846153846
177,disease,1.4249743628368319,0.23258637945124014,Not Significant,0.42883211678832117
178,1984,0.027730329365850532,0.8677443925184667,Not Significant,0.0
179,restorative,0.0386938853924914,0.8440563514271322,Not Significant,1.312781954887218
180,includes,0.7074477583250077,0.40029239852052767,Not Significant,1.3469735720375107
181,regard,1.2297403183059639,0.2674575459184321,Not Significant,4.455882352941177
182,osteoporosis,0.23403653161881685,0.6285468203166699,Not Significant,inf
183,10,0.0,1.0,Not Significant,0.9561466570812365
184,transiently,0.0,1.0,Not Significant,1.4428571428571428
185,heel,0.1659108805912414,0.6837718051208116,Not Significant,1.18946474086661
186,character,0.5465762928591775,0.45972000326900486,Not Significant,1.5
187,codeine,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
188,unremarkable,0.0,1.0,Not Significant,0.9491525423728814
189,sjrogen,0.027730329365850532,0.8677443925184667,Not Significant,0.0
190,chief,0.2819304590742038,0.5954387081759094,Not Significant,0.7723577235772358
191,neurogenic,11.353234321092499,0.0007531669111634402,Significant,2.830952380952381
192,diagnosed,0.0,1.0,Not Significant,0.9565217391304348
193,osteopenic,0.0,1.0,Not Significant,inf
194,housecleaner,0.027730329365850532,0.8677443925184667,Not Significant,0.0
195,taking,0.37171843131408816,0.5420690626919804,Not Significant,0.777000777000777
196,bony,0.0,1.0,Not Significant,inf
197,2003,0.9134525187097302,0.33920002043905473,Not Significant,0.0
198,comment,0.37864633798136105,0.538328585103222,Not Significant,2.2058823529411766
199,cigarette,0.7692317392581829,0.3804548248993287,Not Significant,0.6319526627218935
200,arthrosis,0.0,1.0,Not Significant,inf
201,limit,0.2703726754452323,0.6030818879946628,Not Significant,1.2073260073260073
202,important,0.027730329365850532,0.8677443925184667,Not Significant,0.0
203,air,0.1658295360397683,0.6838451443067792,Not Significant,1.3676633444075303
204,physiatrist,0.027730329365850532,0.8677443925184667,Not Significant,0.0
205,occasion,0.0,1.0,Not Significant,0.9552238805970149
206,replacement,0.04023175683523586,0.8410281276996645,Not Significant,0.7951127819548872
207,lithotripsy,0.027730329365850532,0.8677443925184667,Not Significant,0.0
208,le,0.1409721764832986,0.7073164438110074,Not Significant,2.121212121212121
209,acute,1.6682083476327643,0.19649868345728247,Not Significant,0.17375886524822695
210,reliever,0.0,1.0,Not Significant,inf
211,yoga,0.0,1.0,Not Significant,1.4428571428571428
212,term,0.5690263585872537,0.45064607511304156,Not Significant,0.6225563909774436
213,five,0.0,1.0,Not Significant,1.4428571428571428
214,driver,0.027730329365850532,0.8677443925184667,Not Significant,0.0
215,125,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
216,pyramidal,0.25882151993845565,0.6109309446713078,Not Significant,1.476923076923077
217,pantoprazole,1.8068593515228961,0.17888543988830014,Not Significant,5.237037037037037
218,15,0.0025983476825432532,0.9593462463658018,Not Significant,1.1302083333333333
219,fatigue,0.0,1.0,Not Significant,0.7163120567375887
220,beardwood,0.027730329365850532,0.8677443925184667,Not Significant,0.0
221,face,0.2526049163059294,0.6152468190852667,Not Significant,1.2619565217391304
222,significant,0.20458947327809662,0.6510415824606351,Not Significant,0.8591331269349846
223,prevented,0.0,1.0,Not Significant,0.7163120567375887
224,tid,0.04380005523336084,0.8342260516825205,Not Significant,0.708029197080292
225,sling,0.0,1.0,Not Significant,inf
226,height,0.0,1.0,Not Significant,0.7163120567375887
227,minimus,0.027730329365850532,0.8677443925184667,Not Significant,0.0
228,viibryd,0.027730329365850532,0.8677443925184667,Not Significant,0.0
229,thoracic,4.71881655175167e-05,0.9945190834096732,Not Significant,1.4492753623188406
230,hoffman,1.7404205347044308,0.18708555103844293,Not Significant,1.4585858585858587
231,lump,0.05392052254106931,0.8163765191881716,Not Significant,1.220472440944882
232,determine,0.0,1.0,Not Significant,0.7142857142857143
233,orientation,0.0,1.0,Not Significant,inf
234,arm,4.71881655175167e-05,0.9945190834096732,Not Significant,1.4492753623188406
235,causing,0.0,1.0,Not Significant,0.7122302158273381
236,living,0.0,1.0,Not Significant,1.079136690647482
237,qpm,0.0,1.0,Not Significant,inf
238,intradiscal,0.027730329365850532,0.8677443925184667,Not Significant,0.0
239,dorsiflexion,2.8593759134626913,0.0908427373756256,Not Significant,2.4715447154471546
240,distance,0.0,1.0,Not Significant,0.7142857142857143
241,recalled,0.0,1.0,Not Significant,1.079136690647482
242,nighttime,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
243,undergoing,0.0,1.0,Not Significant,inf
244,partial,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
245,pregabalin,0.072885813908794,0.7871804652500258,Not Significant,0.7828282828282829
246,iddm,0.0,1.0,Not Significant,1.4428571428571428
247,ppi,0.0,1.0,Not Significant,0.7163120567375887
248,route,0.027730329365850532,0.8677443925184667,Not Significant,0.0
249,remaining,0.027730329365850532,0.8677443925184667,Not Significant,0.0
250,triceps,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
251,patellar,1.4934044536364335,0.22168899005377754,Not Significant,2.0317460317460316
252,internist,0.027730329365850532,0.8677443925184667,Not Significant,0.0
253,industrial,0.0,1.0,Not Significant,inf
254,responsive,0.0,1.0,Not Significant,inf
255,ambulate,0.7888576816579786,0.37444576110523364,Not Significant,inf
256,transforaminal,0.0,1.0,Not Significant,0.7142857142857143
257,attempting,0.027730329365850532,0.8677443925184667,Not Significant,0.0
258,improving,0.0037859527318370597,0.9509370465483541,Not Significant,1.2703703703703704
259,resistance,0.0,1.0,Not Significant,inf
260,summarizing,0.027730329365850532,0.8677443925184667,Not Significant,0.0
261,sacroiliac,0.23403653161881685,0.6285468203166699,Not Significant,inf
262,manipulation,1.4319328477237132,0.23144925558950677,Not Significant,0.34532374100719426
263,heavy,0.0,1.0,Not Significant,inf
264,invokana,0.0,1.0,Not Significant,inf
265,far,0.0,1.0,Not Significant,1.2043795620437956
266,reciprocal,0.0,1.0,Not Significant,1.079136690647482
267,28,0.0,1.0,Not Significant,0.8558823529411764
268,waxing,0.0,1.0,Not Significant,inf
269,l3,0.7074477583250077,0.40029239852052767,Not Significant,1.3469735720375107
270,cauda,0.37864633798136105,0.538328585103222,Not Significant,2.2058823529411766
271,large,0.9620872127709095,0.32666156569626575,Not Significant,0.5492537313432836
272,restriction,0.0,1.0,Not Significant,0.7163120567375887
273,hardware,0.0,1.0,Not Significant,inf
274,pleased,0.027730329365850532,0.8677443925184667,Not Significant,0.0
275,bundle,0.0,1.0,Not Significant,inf
276,scheduled,0.09968355038777568,0.7522097168892701,Not Significant,1.28515625
277,serious,0.0,1.0,Not Significant,inf
278,minute,7.27754763877382,0.0069821793645252804,Significant,2.493556701030928
279,envelope,0.0,1.0,Not Significant,inf
280,temporary,0.012884468659748462,0.9096264150998227,Not Significant,0.7101449275362319
281,concomitant,0.6908819313419929,0.40586456509552804,Not Significant,0.35
282,forefoot,0.0,1.0,Not Significant,inf
283,pad,0.027730329365850532,0.8677443925184667,Not Significant,0.0
284,navigating,0.027730329365850532,0.8677443925184667,Not Significant,0.0
285,lyrica,0.0,1.0,Not Significant,1.005925925925926
286,autonomous,0.0,1.0,Not Significant,inf
287,weak,0.5320544567684381,0.4657444016437643,Not Significant,1.2936
288,art,0.7074477583250077,0.40029239852052767,Not Significant,1.3469735720375107
289,anderon,0.0,1.0,Not Significant,inf
290,impeding,0.027730329365850532,0.8677443925184667,Not Significant,0.0
291,myelopathy,0.37864633798136105,0.538328585103222,Not Significant,2.2058823529411766
292,addiction,0.0,1.0,Not Significant,inf
293,compromise,0.47208727258935074,0.4920284895565634,Not Significant,1.9701492537313432
294,police,0.027730329365850532,0.8677443925184667,Not Significant,0.0
295,c4,0.23403653161881685,0.6285468203166699,Not Significant,inf
296,typical,0.0,1.0,Not Significant,0.9565217391304348
297,exhibiting,0.027730329365850532,0.8677443925184667,Not Significant,0.0
298,appointment,0.23403653161881685,0.6285468203166699,Not Significant,inf
299,multiprofen,0.0,1.0,Not Significant,inf
300,better,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
301,meloxicam,0.23403653161881685,0.6285468203166699,Not Significant,inf
302,therefore,0.6908819313419929,0.40586456509552804,Not Significant,0.35
303,july,0.0004430774818127058,0.9832062443146508,Not Significant,0.9048295454545454
304,cyclobenzaprine,0.9134525187097302,0.33920002043905473,Not Significant,0.0
305,environmental,0.23403653161881685,0.6285468203166699,Not Significant,inf
306,service,0.23403653161881685,0.6285468203166699,Not Significant,inf
307,painful,0.7888576816579786,0.37444576110523364,Not Significant,inf
308,significantly,0.2916189030522087,0.5891849621050067,Not Significant,1.6578947368421053
309,verbal,0.0,1.0,Not Significant,inf
310,time,5.538185074499281,0.01860586909218578,Significant,2.0183150183150182
311,initial,0.7750594251785227,0.3786564151431133,Not Significant,1.75
312,consider,0.0,1.0,Not Significant,1.0231481481481481
313,age,0.12031882418270984,0.7286889559726972,Not Significant,0.8835758835758836
314,zopiclone,0.0,1.0,Not Significant,0.7163120567375887
315,longus,0.0,1.0,Not Significant,0.7163120567375887
316,rotation,0.0,1.0,Not Significant,1.0808823529411764
317,experience,0.50576046295599,0.476979901074876,Not Significant,0.7454981992797118
318,still,0.7095737435580582,0.3995853550226799,Not Significant,0.418705035971223
319,quality,0.43027430840330166,0.5118543799907601,Not Significant,1.2813852813852813
320,par,0.34373587225924496,0.5576807025498692,Not Significant,1.225531914893617
321,already,0.23403653161881685,0.6285468203166699,Not Significant,inf
322,remedial,0.0,1.0,Not Significant,inf
323,colonoscopy,0.0,1.0,Not Significant,inf
324,aggravating,0.027730329365850532,0.8677443925184667,Not Significant,0.0
325,2020,0.5911889896976888,0.4419597117495333,Not Significant,1.6029246344206973
326,forgot,0.027730329365850532,0.8677443925184667,Not Significant,0.0
327,candidate,2.1826977830893055,0.13956962273517232,Not Significant,0.428956228956229
328,conditioning,0.027730329365850532,0.8677443925184667,Not Significant,0.0
329,worker,0.0,1.0,Not Significant,0.7163120567375887
330,caudal,0.2923199051557688,0.5887377016920815,Not Significant,2.927536231884058
331,level,0.3606913296212464,0.5481225392298822,Not Significant,0.7365079365079366
332,clarification,0.027730329365850532,0.8677443925184667,Not Significant,0.0
333,debilitating,0.1409721764832986,0.7073164438110074,Not Significant,0.4714285714285714
334,silent,0.23403653161881685,0.6285468203166699,Not Significant,inf
335,edarbi,0.0,1.0,Not Significant,inf
336,decline,0.7139097561145417,0.3981489151668771,Not Significant,3.6861313868613137
337,grade,4.633662331475185,0.03135057487616439,Significant,1.8333333333333333
338,begun,0.0,1.0,Not Significant,0.7142857142857143
339,becoming,0.027730329365850532,0.8677443925184667,Not Significant,0.0
340,within,0.6405370266678794,0.42351639893079607,Not Significant,1.276190476190476
341,rehabilitation,0.027730329365850532,0.8677443925184667,Not Significant,0.0
342,bulk,0.5320544567684381,0.4657444016437643,Not Significant,1.2936
343,opportunity,0.0,1.0,Not Significant,inf
344,onst,0.0037859527318370597,0.9509370465483541,Not Significant,1.2703703703703704
345,worthwhile,0.027730329365850532,0.8677443925184667,Not Significant,0.0
346,chiropractor,0.37864633798136105,0.538328585103222,Not Significant,2.2058823529411766
347,mandibular,0.027730329365850532,0.8677443925184667,Not Significant,0.0
348,needed,0.7888576816579786,0.37444576110523364,Not Significant,inf
349,unfortunately,0.23403653161881685,0.6285468203166699,Not Significant,inf
350,arthropathy,0.0,1.0,Not Significant,0.8558823529411764
351,block,0.10350437364783521,0.7476641004981601,Not Significant,0.8302845528455285
352,series,0.027730329365850532,0.8677443925184667,Not Significant,0.0
353,steppage,0.027730329365850532,0.8677443925184667,Not Significant,0.0
354,arthritic,0.23403653161881685,0.6285468203166699,Not Significant,inf
355,concerning,0.23403653161881685,0.6285468203166699,Not Significant,inf
356,son,0.011561100551792217,0.9143744300948368,Not Significant,0.8959349593495934
357,ehl,0.010114975192272061,0.9198892459300226,Not Significant,1.0813204508856682
358,constant,0.0,1.0,Not Significant,1.2043795620437956
359,treadmill,0.0,1.0,Not Significant,inf
360,intermittent,0.37922125743169655,0.538020301086958,Not Significant,0.5987394957983193
361,straight,0.2057512487594431,0.650118111412951,Not Significant,1.1672839506172838
362,physically,0.0,1.0,Not Significant,0.7163120567375887
363,pertain,0.0,1.0,Not Significant,inf
364,hyper,0.37297328403516083,0.5413880175755639,Not Significant,1.2502970297029703
365,noticeable,0.0,1.0,Not Significant,inf
366,trying,0.2923199051557688,0.5887377016920815,Not Significant,2.927536231884058
367,lancination,0.0,1.0,Not Significant,inf
368,flavum,0.0,1.0,Not Significant,0.7163120567375887
369,making,0.9134525187097302,0.33920002043905473,Not Significant,0.0
370,strongly,0.027730329365850532,0.8677443925184667,Not Significant,0.0
371,caregiver,0.0,1.0,Not Significant,inf
372,lobectomy,0.0,1.0,Not Significant,inf
373,access,0.23403653161881685,0.6285468203166699,Not Significant,inf
374,interventionalist,0.0,1.0,Not Significant,1.4428571428571428
375,apply,0.0,1.0,Not Significant,inf
376,notwithstanding,6.727776376931667,0.00949228604786947,Significant,0.17854807063440156
377,hardare,0.0,1.0,Not Significant,inf
378,tarlov,0.027730329365850532,0.8677443925184667,Not Significant,0.0
379,think,0.1409721764832986,0.7073164438110074,Not Significant,0.4714285714285714
380,paraspinal,0.0,1.0,Not Significant,inf
381,pathology,0.027730329365850532,0.8677443925184667,Not Significant,0.0
382,told,0.0,1.0,Not Significant,inf
383,felt,0.7095737435580582,0.3995853550226799,Not Significant,0.418705035971223
384,therapy,0.24567595421822894,0.6201363640280024,Not Significant,0.8492022645393721
385,finished,0.027730329365850532,0.8677443925184667,Not Significant,0.0
386,massage,0.6708086677875071,0.41276981067137786,Not Significant,1.7907692307692307
387,tear,0.0,1.0,Not Significant,0.7122302158273381
388,tramacet,0.027730329365850532,0.8677443925184667,Not Significant,0.0
389,line,1.399773317118627,0.23676152841994333,Not Significant,2.121875
390,began,0.3233404280137954,0.5696070517573331,Not Significant,1.3561847988077496
391,physio,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
392,gained,0.027730329365850532,0.8677443925184667,Not Significant,0.0
393,requisitioned,0.049257301091464575,0.8243607010711337,Not Significant,1.1485042735042734
394,bicycle,0.0,1.0,Not Significant,0.7163120567375887
395,provided,0.07048763028027713,0.7906281099813821,Not Significant,0.8203125
396,mildly,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
397,benefit,0.0,1.0,Not Significant,0.9552238805970149
398,flattened,0.027730329365850532,0.8677443925184667,Not Significant,0.0
399,absent,1.998982487580773,0.15740484161259768,Not Significant,1.504561403508772
400,swollen,0.9134525187097302,0.33920002043905473,Not Significant,0.0
401,much,0.04023175683523586,0.8410281276996645,Not Significant,0.7951127819548872
402,flexion,0.1516155758077879,0.696996212533064,Not Significant,1.1443359952676724
403,radiograph,0.7464439393188353,0.3876044413858035,Not Significant,0.463768115942029
404,generalized,0.0,1.0,Not Significant,inf
405,broad,0.0,1.0,Not Significant,0.7122302158273381
406,prior,0.3233404280137954,0.5696070517573331,Not Significant,1.3561847988077496
407,primary,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
408,recovery,4.71881655175167e-05,0.9945190834096732,Not Significant,1.4492753623188406
409,antalgic,0.7888576816579786,0.37444576110523364,Not Significant,inf
410,continuing,0.030103356479067925,0.8622559216963546,Not Significant,0.9086188992731049
411,gluten,0.0,1.0,Not Significant,inf
412,deficit,0.058374426422790074,0.8090839213985223,Not Significant,0.8814928818776453
413,600,0.2923199051557688,0.5887377016920815,Not Significant,2.927536231884058
414,episodic,0.08388136974151478,0.7721048177986278,Not Significant,0.3546099290780142
415,consistent,2.281228672462995,0.1309480990589588,Not Significant,3.787878787878788
416,equine,0.0,1.0,Not Significant,1.4428571428571428
417,requested,0.027730329365850532,0.8677443925184667,Not Significant,0.0
418,scar,0.027730329365850532,0.8677443925184667,Not Significant,0.0
419,feel,3.0035237875457588,0.08308362961979102,Not Significant,0.4393939393939394
420,rated,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
421,responded,0.1409721764832986,0.7073164438110074,Not Significant,0.4714285714285714
422,instructed,0.0,1.0,Not Significant,inf
423,nitroglycerin,0.0,1.0,Not Significant,inf
424,option,0.0,1.0,Not Significant,1.2043795620437956
425,nature,0.19838170973216562,0.6560302663275008,Not Significant,1.711111111111111
426,symbicort,0.0,1.0,Not Significant,inf
427,plasty,0.030954846727423407,0.8603411623475206,Not Significant,2.179856115107914
428,defect,0.0,1.0,Not Significant,inf
