,Keyword,Chi-Square,P-Value,Association
83,orthopedic,0.9134525187097302,0.3392000204390548,Not Significant
84,five,0.0,1.0,Not Significant
85,trained,0.7888576816579786,0.37444576110523364,Not Significant
86,afterwards,0.0,1.0,Not Significant
87,sling,0.0,1.0,Not Significant
88,mold,0.23403653161881685,0.6285468203166699,Not Significant
89,caudal,0.2923199051557688,0.5887377016920815,Not Significant
90,assessment,0.0,1.0,Not Significant
91,spasm,0.030954846727423407,0.8603411623475206,Not Significant
92,exposure,0.0,1.0,Not Significant
93,pacing,0.027730329365850532,0.8677443925184667,Not Significant
94,chlorthalidone,0.027730329365850532,0.8677443925184667,Not Significant
95,program,0.012884468659748462,0.9096264150998227,Not Significant
96,failed,0.027730329365850532,0.8677443925184667,Not Significant
97,however,0.08425507972332527,0.7716117871398922,Not Significant
98,urgency,0.030954846727423407,0.8603411623475206,Not Significant
99,slr,1.0105882950352156,0.3147619429828153,Not Significant
100,builder,0.0,1.0,Not Significant
101,costco,0.0,1.0,Not Significant
102,disc,2.5697963119360874,0.10892175585953735,Not Significant
103,significance,0.027730329365850532,0.8677443925184667,Not Significant
104,think,0.1409721764832986,0.7073164438110074,Not Significant
105,impacted,0.7888576816579786,0.37444576110523364,Not Significant
106,inability,0.030954846727423407,0.8603411623475206,Not Significant
107,employment,2.153327962786619,0.14226123442610045,Not Significant
108,physical,1.596053140691476,0.20646343625950878,Not Significant
109,7,0.034100612075816314,0.8534929683601121,Not Significant
110,loss,0.012884468659748462,0.9096264150998227,Not Significant
111,unchanged,0.030954846727423407,0.8603411623475206,Not Significant
112,ehl,0.010114975192272061,0.9198892459300226,Not Significant
113,lyrica,0.0,1.0,Not Significant
114,endeavoring,0.0,1.0,Not Significant
115,assessed,0.0,1.0,Not Significant
116,diltiazem,0.0,1.0,Not Significant
117,yoga,0.0,1.0,Not Significant
118,aleve,0.0,1.0,Not Significant
119,2002,0.0,1.0,Not Significant
120,consult,0.534364684841073,0.46477761345291135,Not Significant
121,associated,1.4353643100432663,0.23089097141425874,Not Significant
122,least,0.0,1.0,Not Significant
123,taken,0.0,1.0,Not Significant
124,cardinal,0.05172531550547081,0.8200878382512555,Not Significant
125,gait,0.9550503047011523,0.328437108594414,Not Significant
126,traffic,0.0,1.0,Not Significant
127,infarction,0.2923199051557688,0.5887377016920815,Not Significant
128,waning,0.0,1.0,Not Significant
129,osteoarthritis,0.0,1.0,Not Significant
130,paragraph,0.00014908119548454545,0.9902581664681033,Not Significant
131,recommend,0.0,1.0,Not Significant
132,negligible,0.0,1.0,Not Significant
133,sertraline,0.0,1.0,Not Significant
134,nitrazepam,0.0,1.0,Not Significant
135,lucency,0.0,1.0,Not Significant
136,definitely,0.027730329365850532,0.8677443925184667,Not Significant
137,job,0.6908819313419929,0.40586456509552804,Not Significant
138,albeit,0.027730329365850532,0.8677443925184667,Not Significant
139,general,0.7017019249014163,0.40221241309013356,Not Significant
140,first,0.0386938853924914,0.8440563514271322,Not Significant
141,despite,3.922504926718699,0.04764384013415869,Significant
142,wadden,0.027730329365850532,0.8677443925184667,Not Significant
143,l3,0.7074477583250077,0.40029239852052767,Not Significant
144,si,0.0,1.0,Not Significant
145,police,0.027730329365850532,0.8677443925184667,Not Significant
146,femoral,0.1409721764832986,0.7073164438110074,Not Significant
147,ddd,0.027730329365850532,0.8677443925184667,Not Significant
148,surgically,0.0,1.0,Not Significant
149,exercise,0.9858141454399045,0.32076759041152747,Not Significant
150,month,0.19263521263995903,0.6607323435683227,Not Significant
151,house,0.0,1.0,Not Significant
152,nerve,0.28235392748648735,0.5951625037040498,Not Significant
153,playing,0.0,1.0,Not Significant
154,tier,0.027730329365850532,0.8677443925184667,Not Significant
155,fibromyalgia,0.0,1.0,Not Significant
156,differential,0.9134525187097302,0.3392000204390548,Not Significant
157,arythmia,0.0,1.0,Not Significant
158,acetaminophen,0.0,1.0,Not Significant
159,personal,0.0,1.0,Not Significant
160,2016,0.7160326337107611,0.39744836874090006,Not Significant
161,183,0.9134525187097302,0.3392000204390548,Not Significant
162,would,0.09562026928374598,0.7571501705140008,Not Significant
163,tingling,0.19838170973216562,0.6560302663275008,Not Significant
164,zopiclone,0.0,1.0,Not Significant
165,ask,3.5587570263144186,0.05923207684482888,Not Significant
166,evidence,0.0,1.0,Not Significant
167,march,2.1297049363761644,0.14446856327427893,Not Significant
168,hamstring,0.7139097561145417,0.3981489151668771,Not Significant
169,stone,0.027730329365850532,0.8677443925184667,Not Significant
170,multiprofen,0.0,1.0,Not Significant
171,distal,3.0452784119162555,0.08097223073099832,Not Significant
172,bag,0.0,1.0,Not Significant
173,walker,7.401400274713296,0.006517312598287243,Significant
174,plateaued,4.71881655175167e-05,0.9945190834096732,Not Significant
175,115,0.0,1.0,Not Significant
176,work,0.021842211668779983,0.8825076268887266,Not Significant
177,fracture,0.012884468659748462,0.9096264150998227,Not Significant
178,mechanical,0.007774715385337915,0.9297381063920489,Not Significant
179,pin,0.0,1.0,Not Significant
180,air,0.1658295360397683,0.6838451443067792,Not Significant
181,baclofen,1.2297403183059639,0.2674575459184321,Not Significant
182,lot,0.7139097561145417,0.3981489151668771,Not Significant
183,functioning,3.935712070090333,0.04727112397529984,Significant
184,lumbosacral,0.23403653161881685,0.6285468203166699,Not Significant
185,high,0.07886083711278942,0.7788471453450139,Not Significant
186,ivf,0.027730329365850532,0.8677443925184667,Not Significant
187,obliteration,0.0,1.0,Not Significant
188,travelled,0.0,1.0,Not Significant
189,travel,0.7012887367680485,0.4023509985750393,Not Significant
190,thgih,0.027730329365850532,0.8677443925184667,Not Significant
191,hgh,2.281228672462995,0.13094809905895877,Not Significant
192,encourage,1.3050709472239315,0.2532890301398714,Not Significant
193,sense,0.10983015658274958,0.7403375829953007,Not Significant
194,retrolisthesisand,0.0,1.0,Not Significant
195,sjrogen,0.027730329365850532,0.8677443925184667,Not Significant
196,diagnosis,0.7160326337107611,0.39744836874090006,Not Significant
197,tsh,0.027730329365850532,0.8677443925184667,Not Significant
198,varicose,0.0,1.0,Not Significant
199,band,0.0,1.0,Not Significant
200,thrust,0.0,1.0,Not Significant
201,dorsi,3.377426277398154,0.06609519288264794,Not Significant
202,strenuous,0.027730329365850532,0.8677443925184667,Not Significant
203,exam,5.533885732561905,0.018651638778055743,Significant
204,rather,4.71881655175167e-05,0.9945190834096732,Not Significant
205,prn,0.0,1.0,Not Significant
206,form,0.027222051093219245,0.8689510158139818,Not Significant
207,l2,0.24832118766924377,0.6182596692827831,Not Significant
208,qpm,0.0,1.0,Not Significant
209,due,0.9184647936258548,0.3378783904434437,Not Significant
210,tender,1.2101889028152497,0.2712947134016837,Not Significant
211,establish,0.0,1.0,Not Significant
212,smoking,0.0,1.0,Not Significant
213,delay,0.0,1.0,Not Significant
214,desk,0.0,1.0,Not Significant
215,discectomy,0.0,1.0,Not Significant
216,concurrently,2.153327962786619,0.14226123442610045,Not Significant
217,flexeril,0.0,1.0,Not Significant
218,noticeable,0.0,1.0,Not Significant
219,chore,0.02622725118682556,0.8713465685852215,Not Significant
220,withstanding,5.223167621190797,0.022287917050714187,Significant
221,patellar,1.4934044536364335,0.22168899005377754,Not Significant
222,precipitate,0.23403653161881685,0.6285468203166699,Not Significant
223,recommended,0.142643927749944,0.7056666102612763,Not Significant
224,chair,0.0,1.0,Not Significant
225,including,1.4513507049087342,0.22831134410113604,Not Significant
226,requiring,0.0,1.0,Not Significant
227,suggestive,0.25806906520474543,0.6114498469605114,Not Significant
228,selective,0.08388136974151478,0.7721048177986278,Not Significant
229,pantoprazole,1.8068593515228961,0.17888543988830014,Not Significant
230,constellation,0.027730329365850532,0.8677443925184667,Not Significant
231,25,0.0,1.0,Not Significant
232,sitting,0.012542089855706783,0.9108301681962164,Not Significant
233,spreading,0.027730329365850532,0.8677443925184667,Not Significant
234,heavy,0.0,1.0,Not Significant
235,practice,0.7160326337107611,0.39744836874090006,Not Significant
236,arthritic,0.23403653161881685,0.6285468203166699,Not Significant
237,ulcerative,0.027730329365850532,0.8677443925184667,Not Significant
238,light,0.3501759700911883,0.55401353457634,Not Significant
239,abnormal,0.2923199051557688,0.5887377016920815,Not Significant
240,troublesome,0.030954846727423407,0.8603411623475206,Not Significant
241,favoring,0.0,1.0,Not Significant
242,incomplete,0.0,1.0,Not Significant
243,fence,0.0,1.0,Not Significant
244,nexium,0.0,1.0,Not Significant
245,midline,4.71881655175167e-05,0.9945190834096732,Not Significant
246,felt,0.7095737435580582,0.3995853550226799,Not Significant
247,encroachment,0.027730329365850532,0.8677443925184667,Not Significant
248,tid,0.04380005523336084,0.8342260516825205,Not Significant
249,mcg,0.0,1.0,Not Significant
250,2q6hrs,0.0,1.0,Not Significant
251,irbesartan,0.027730329365850532,0.8677443925184667,Not Significant
252,cymbalta,0.0,1.0,Not Significant
253,otc,0.0,1.0,Not Significant
254,flexion,0.1516155758077879,0.696996212533064,Not Significant
255,methylprednisone,0.0,1.0,Not Significant
256,wished,0.027730329365850532,0.8677443925184667,Not Significant
257,new,4.71881655175167e-05,0.9945190834096732,Not Significant
258,develops,0.0,1.0,Not Significant
259,waist,0.0,1.0,Not Significant
260,insufficiency,0.0,1.0,Not Significant
261,imaging,0.8703947119957892,0.3508460588622213,Not Significant
262,tally,0.23403653161881685,0.6285468203166699,Not Significant
263,50,0.0,1.0,Not Significant
264,employability,0.0,1.0,Not Significant
265,burlington,0.027730329365850532,0.8677443925184667,Not Significant
266,social,0.0,1.0,Not Significant
267,chef,0.9134525187097302,0.3392000204390548,Not Significant
268,ifv,0.0,1.0,Not Significant
269,join,0.00026240148114881317,0.9870757839423112,Not Significant
270,resign,0.027730329365850532,0.8677443925184667,Not Significant
271,flattened,0.027730329365850532,0.8677443925184667,Not Significant
272,shoulder,0.012884468659748462,0.9096264150998227,Not Significant
273,leave,0.0,1.0,Not Significant
274,play,0.027730329365850532,0.8677443925184667,Not Significant
275,belt,0.027730329365850532,0.8677443925184667,Not Significant
276,rotation,0.0,1.0,Not Significant
277,psoriatic,0.027730329365850532,0.8677443925184667,Not Significant
278,planning,0.7888576816579786,0.37444576110523364,Not Significant
279,responsive,0.0,1.0,Not Significant
280,film,0.08425507972332527,0.7716117871398922,Not Significant
281,struggling,0.0,1.0,Not Significant
282,cauda,0.37864633798136105,0.538328585103222,Not Significant
283,recommendation,0.0,1.0,Not Significant
284,gluteal,0.0,1.0,Not Significant
285,led,0.0,1.0,Not Significant
286,thyroid,0.0,1.0,Not Significant
287,rapid,0.7888576816579786,0.37444576110523364,Not Significant
288,benign,0.027730329365850532,0.8677443925184667,Not Significant
289,tonsillectomy,0.0,1.0,Not Significant
290,congenital,0.0,1.0,Not Significant
291,supportive,0.0,1.0,Not Significant
292,intervertebral,0.0,1.0,Not Significant
293,decline,0.7139097561145417,0.3981489151668771,Not Significant
294,wheeled,0.23403653161881685,0.6285468203166699,Not Significant
295,c6,0.027730329365850532,0.8677443925184667,Not Significant
296,rotator,0.0,1.0,Not Significant
297,hallucis,0.0,1.0,Not Significant
298,hospital,0.0,1.0,Not Significant
299,conservative,0.10146135211530886,0.7500829524930694,Not Significant
300,vasculogenic,0.027730329365850532,0.8677443925184667,Not Significant
301,success,0.0,1.0,Not Significant
302,might,0.23403653161881685,0.6285468203166699,Not Significant
303,coversyl,0.027730329365850532,0.8677443925184667,Not Significant
304,40,0.7139097561145417,0.3981489151668771,Not Significant
305,achille,0.38208715476735355,0.5364883377596377,Not Significant
306,helpful,0.6053581886911862,0.4365409064360949,Not Significant
307,commensurate,0.07915645600442121,0.7784438263931983,Not Significant
308,attributed,0.027730329365850532,0.8677443925184667,Not Significant
309,hyperintense,0.027730329365850532,0.8677443925184667,Not Significant
310,classify,0.0,1.0,Not Significant
311,tear,0.0,1.0,Not Significant
312,consulted,0.027730329365850532,0.8677443925184667,Not Significant
313,even,0.19902654114477547,0.6555077439181216,Not Significant
314,aggravating,0.027730329365850532,0.8677443925184667,Not Significant
315,gapabentin,0.027730329365850532,0.8677443925184667,Not Significant
316,application,0.0,1.0,Not Significant
317,groin,0.0,1.0,Not Significant
318,suspended,0.0,1.0,Not Significant
319,resisted,4.529965455400417,0.033306290034294306,Significant
320,sustained,0.0,1.0,Not Significant
321,ups,0.9134525187097302,0.3392000204390548,Not Significant
322,severe,3.3021090007761216,0.06919099471271986,Not Significant
323,lasted,0.0,1.0,Not Significant
324,ibuprofen,0.027730329365850532,0.8677443925184667,Not Significant
325,bradycardia,0.0,1.0,Not Significant
326,follows,0.027730329365850532,0.8677443925184667,Not Significant
327,mm,0.002363753410822295,0.9612233685874759,Not Significant
328,resistance,0.0,1.0,Not Significant
329,physio,0.08388136974151478,0.7721048177986278,Not Significant
330,arthrotec,0.0,1.0,Not Significant
331,restriction,0.0,1.0,Not Significant
332,degenerative,0.0006940371759823797,0.9789824932911648,Not Significant
333,rod,1.3388089523598024,0.24724412110318447,Not Significant
334,osteoporotic,0.0,1.0,Not Significant
335,removed,0.0,1.0,Not Significant
336,mid,0.02407445628564029,0.8766956118279333,Not Significant
337,right,3.684633422245574,0.054916041930271296,Not Significant
338,known,0.0,1.0,Not Significant
339,ulnar,0.0,1.0,Not Significant
340,adls,0.0,1.0,Not Significant
341,decision,0.027730329365850532,0.8677443925184667,Not Significant
342,stretch,0.42669284576651356,0.513616196400118,Not Significant
343,exert,0.23403653161881685,0.6285468203166699,Not Significant
344,interval,0.0,1.0,Not Significant
345,neuroforaminal,0.0,1.0,Not Significant
346,tenderness,0.37864633798136105,0.538328585103222,Not Significant
347,segmental,0.027730329365850532,0.8677443925184667,Not Significant
348,consideration,0.0,1.0,Not Significant
349,available,0.027730329365850532,0.8677443925184667,Not Significant
350,167,0.0,1.0,Not Significant
351,tension,2.260312145202368,0.13272730564900073,Not Significant
352,teste,0.027730329365850532,0.8677443925184667,Not Significant
353,fact,2.875888357247098,0.08991534432723201,Not Significant
354,pressure,0.7160326337107611,0.39744836874090006,Not Significant
355,arachnoiditis,0.027730329365850532,0.8677443925184667,Not Significant
356,medium,0.0,1.0,Not Significant
357,lack,1.0731481127701903,0.3002354428618671,Not Significant
358,combination,1.817376492311852,0.17762587766012222,Not Significant
359,manipulation,1.4319328477237132,0.23144925558950677,Not Significant
360,notice,0.7888576816579786,0.37444576110523364,Not Significant
361,offer,0.08425507972332527,0.7716117871398922,Not Significant
362,diverticulitis,0.0,1.0,Not Significant
363,two,0.0,1.0,Not Significant
364,extraforaminal,0.23403653161881685,0.6285468203166699,Not Significant
365,vibration,0.37864633798136105,0.538328585103222,Not Significant
366,concomitantly,1.6682083476327643,0.19649868345728247,Not Significant
367,touch,1.4353643100432663,0.23089097141425874,Not Significant
368,liposuction,0.0,1.0,Not Significant
369,current,7.010483782557002,0.008103378030004866,Significant
370,naproxen,0.2923199051557688,0.5887377016920815,Not Significant
371,flag,0.027730329365850532,0.8677443925184667,Not Significant
372,far,0.0,1.0,Not Significant
373,rabeprazole,0.7888576816579786,0.37444576110523364,Not Significant
374,ligamentum,0.0,1.0,Not Significant
375,coccydynia,0.027730329365850532,0.8677443925184667,Not Significant
376,prevented,0.0,1.0,Not Significant
377,ae,0.13692781690140832,0.7113544835301633,Not Significant
378,neither,0.027730329365850532,0.8677443925184667,Not Significant
379,osteotomy,0.23403653161881685,0.6285468203166699,Not Significant
380,affected,0.030954846727423407,0.8603411623475206,Not Significant
381,candesartan,0.23403653161881685,0.6285468203166699,Not Significant
382,neurogical,0.027730329365850532,0.8677443925184667,Not Significant
383,dish,0.0,1.0,Not Significant
384,afford,0.0,1.0,Not Significant
385,includes,0.7074477583250077,0.40029239852052767,Not Significant
386,addiction,0.0,1.0,Not Significant
387,overall,0.032625027502427045,0.8566627205208284,Not Significant
388,dull,0.0,1.0,Not Significant
389,lung,0.0,1.0,Not Significant
390,methadone,0.0,1.0,Not Significant
391,service,0.23403653161881685,0.6285468203166699,Not Significant
392,testing,0.6227212227299433,0.4300378565474616,Not Significant
393,week,0.6227212227299433,0.4300378565474616,Not Significant
394,considering,0.0,1.0,Not Significant
395,episodic,0.08388136974151478,0.7721048177986278,Not Significant
396,student,0.027730329365850532,0.8677443925184667,Not Significant
397,seemed,0.027730329365850532,0.8677443925184667,Not Significant
398,melignant,0.0,1.0,Not Significant
399,feature,0.0,1.0,Not Significant
400,straight,0.2057512487594431,0.6501181114129511,Not Significant
401,lipomatosis,0.0,1.0,Not Significant
402,multilevel,0.0,1.0,Not Significant
403,180,0.23403653161881685,0.6285468203166699,Not Significant
404,chiari,0.0,1.0,Not Significant
405,ozempic,0.0,1.0,Not Significant
406,bending,0.9134525187097302,0.3392000204390548,Not Significant
407,history,0.7599917917088594,0.3833310914238677,Not Significant
408,cyclobenzaprine,0.9134525187097302,0.3392000204390548,Not Significant
409,monthly,0.0,1.0,Not Significant
410,another,0.0,1.0,Not Significant
411,continuing,0.030103356479067925,0.8622559216963546,Not Significant
412,given,2.096682261648167,0.14761914990948766,Not Significant
413,affect,1.4934044536364335,0.22168899005377754,Not Significant
414,laparoscopy,0.0,1.0,Not Significant
415,intermittently,0.030954846727423407,0.8603411623475206,Not Significant
416,atorvastatin,1.4353643100432663,0.23089097141425874,Not Significant
417,duloxetine,0.08388136974151478,0.7721048177986278,Not Significant
418,serbia,0.027730329365850532,0.8677443925184667,Not Significant
419,system,0.9134525187097302,0.3392000204390548,Not Significant
420,smoker,0.01567424965698137,0.9003677159970636,Not Significant
421,osteopathic,0.0,1.0,Not Significant
422,breast,0.37864633798136105,0.538328585103222,Not Significant
423,green,0.0,1.0,Not Significant
424,liver,0.027730329365850532,0.8677443925184667,Not Significant
425,arranged,0.23403653161881685,0.6285468203166699,Not Significant
426,sided,0.3181251948279767,0.5727365184632409,Not Significant
427,interim,2.0940039240876134,0.14787806056209374,Not Significant
428,subtle,0.0,1.0,Not Significant
429,stenotic,0.0,1.0,Not Significant
430,crutch,0.027730329365850532,0.8677443925184667,Not Significant
431,le,0.1409721764832986,0.7073164438110074,Not Significant
432,impression,1.3609717806500932,0.24336913452362924,Not Significant
433,t1,0.19902654114477547,0.6555077439181216,Not Significant
434,recall,2.3063133619885887,0.12884932992013415,Not Significant
435,respond,1.2574538031174907,0.26213360173262085,Not Significant
436,awakens,0.0,1.0,Not Significant
437,able,0.16744655167069725,0.6823911803362989,Not Significant
438,cholecystectomy,2.7864139856439682,0.09506675158519358,Not Significant
439,cyclist,0.027730329365850532,0.8677443925184667,Not Significant
440,unknown,0.027730329365850532,0.8677443925184667,Not Significant
441,lateral,0.025502270143821996,0.8731218895138417,Not Significant
442,syndrome,0.0,1.0,Not Significant
443,difficult,0.5984032285148475,0.4391879160859018,Not Significant
444,education,0.0,1.0,Not Significant
445,atenolol,0.9134525187097302,0.3392000204390548,Not Significant
446,lobe,0.7160326337107611,0.39744836874090006,Not Significant
447,november,0.045963458771202975,0.8302422360478702,Not Significant
448,hundred,0.0,1.0,Not Significant
449,area,0.25806906520474543,0.6114498469605114,Not Significant
450,order,0.0,1.0,Not Significant
451,2022,1.1829476857731573,0.27675672132773266,Not Significant
452,neurogenic,11.353234321092499,0.0007531669111634402,Significant
453,us,0.1640426429646174,0.6854615007940513,Not Significant
454,calf,0.0,1.0,Not Significant
455,utilizes,0.0,1.0,Not Significant
456,catharines,0.2923199051557688,0.5887377016920815,Not Significant
457,chance,0.0,1.0,Not Significant
458,sulfa,0.0,1.0,Not Significant
459,bilateral,0.03139970243325666,0.8593516005529152,Not Significant
460,provided,0.07048763028027713,0.7906281099813821,Not Significant
461,arm,4.71881655175167e-05,0.9945190834096732,Not Significant
462,comorbidities,0.9134525187097302,0.3392000204390548,Not Significant
463,clarification,0.027730329365850532,0.8677443925184667,Not Significant
464,household,0.0,1.0,Not Significant
465,ct,0.0,1.0,Not Significant
466,day,4.316137820748622,0.03775251578417004,Significant
467,cream,0.0,1.0,Not Significant
468,recurrent,0.9134525187097302,0.3392000204390548,Not Significant
469,12,0.13060494252814406,0.7178056365953993,Not Significant
470,later,0.07773289154608984,0.7803935638714778,Not Significant
471,perineum,0.027730329365850532,0.8677443925184667,Not Significant
472,development,0.0,1.0,Not Significant
473,side,0.07773289154608984,0.7803935638714778,Not Significant
474,muscle,0.18534921563212492,0.6668159472702107,Not Significant
475,osteoarthritic,0.0,1.0,Not Significant
476,pleased,0.027730329365850532,0.8677443925184667,Not Significant
477,perhaps,0.09606676570579667,0.7566017232987258,Not Significant
478,roll,0.0,1.0,Not Significant
479,lead,0.027730329365850532,0.8677443925184667,Not Significant
480,different,2.153327962786619,0.14226123442610045,Not Significant
481,tunnel,0.0,1.0,Not Significant
482,recovering,0.0,1.0,Not Significant
483,sensation,0.272411546272225,0.6017186551424722,Not Significant
484,serious,0.0,1.0,Not Significant
485,900,0.0,1.0,Not Significant
486,elapsed,0.9134525187097302,0.3392000204390548,Not Significant
487,symmetrical,0.1923751088080679,0.660947143278757,Not Significant
488,modality,0.0,1.0,Not Significant
489,yesterday,0.0,1.0,Not Significant
490,past,0.0,1.0,Not Significant
491,19,0.0,1.0,Not Significant
492,arthrosis,0.0,1.0,Not Significant
493,water,0.027730329365850532,0.8677443925184667,Not Significant
494,cervical,1.8068593515228961,0.17888543988830014,Not Significant
495,radiograph,0.7464439393188353,0.3876044413858035,Not Significant
496,minerva,0.0,1.0,Not Significant
497,notwithstanding,6.727776376931667,0.00949228604786947,Significant
498,subarticular,0.0,1.0,Not Significant
499,whether,0.13060494252814406,0.7178056365953993,Not Significant
500,enlargement,0.027730329365850532,0.8677443925184667,Not Significant
501,bed,0.1658295360397683,0.6838451443067792,Not Significant
502,carpenter,0.027730329365850532,0.8677443925184667,Not Significant
503,kind,0.08388136974151478,0.7721048177986278,Not Significant
504,noted,0.9620872127709095,0.32666156569626575,Not Significant
505,hyper,0.37297328403516083,0.5413880175755639,Not Significant
506,causing,0.0,1.0,Not Significant
507,primary,0.030954846727423407,0.8603411623475206,Not Significant
508,aspect,0.6908819313419929,0.40586456509552804,Not Significant
509,worsened,0.7160326337107611,0.39744836874090006,Not Significant
510,degroote,0.7888576816579786,0.37444576110523364,Not Significant
511,table,1.8068593515228961,0.17888543988830014,Not Significant
512,specialist,0.0,1.0,Not Significant
513,djd,0.027730329365850532,0.8677443925184667,Not Significant
514,thickening,0.027730329365850532,0.8677443925184667,Not Significant
515,myrbetriq,0.23403653161881685,0.6285468203166699,Not Significant
516,window,0.027730329365850532,0.8677443925184667,Not Significant
517,accompaniment,0.0,1.0,Not Significant
518,qid,0.0,1.0,Not Significant
519,conducted,0.0,1.0,Not Significant
520,coming,0.9134525187097302,0.3392000204390548,Not Significant
521,hydromorph,0.7160326337107611,0.39744836874090006,Not Significant
522,fasciitis,0.0,1.0,Not Significant
523,cord,0.0,1.0,Not Significant
524,undergoing,0.0,1.0,Not Significant
525,glicazide,0.027730329365850532,0.8677443925184667,Not Significant
526,methotrexate,0.9134525187097302,0.3392000204390548,Not Significant
527,eltroxin,0.0,1.0,Not Significant
528,home,0.5444827571437459,0.46058084115267894,Not Significant
529,clerk,0.027730329365850532,0.8677443925184667,Not Significant
530,apparent,0.0,1.0,Not Significant
531,waxing,0.0,1.0,Not Significant
532,small,0.7095737435580582,0.3995853550226799,Not Significant
533,second,0.0,1.0,Not Significant
534,ambulate,0.7888576816579786,0.37444576110523364,Not Significant
535,contributing,0.08388136974151478,0.7721048177986278,Not Significant
536,tennis,0.027730329365850532,0.8677443925184667,Not Significant
537,escitalopram,0.0,1.0,Not Significant
538,removal,0.08388136974151478,0.7721048177986278,Not Significant
